Company Name,Industry,Symbol,Series,ISIN Code
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Knowledge Realty Trust,Realty,KRT,RR,INE1JAR25012
EMBASSY OFFICE PARKS REIT,Realty,EMBASSY,RR,INE041025011
MINDSPACE BUSINESS PARKS REIT,Realty,MINDSPACE,RR,INE0CCU25019
Nexus Select Trust,Realty,NXST,RR,INE0NDH25011
Brookfield India Real Estate Trust,Realty,BIRET,RR,INE0FDU25010
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Embassy Developments Ltd.,Realty,EMBDL,BE,INE069I01010
